timestamp,temperature,humidity,wind_speed,weather_label
2024-01-01T00:00:00,23.4,30,5.4,Autumn
2024-01-01T01:00:00,11.0,44,6.8,Cold
2024-01-01T02:00:00,10.0,87,9.3,Cold
2024-01-01T03:00:00,31.6,39,6.4,Sunny
2024-01-01T04:00:00,16.8,47,1.3,Sunny
2024-01-01T05:00:00,29.9,53,9.2,Sunny
2024-01-01T06:00:00,14.8,68,6.2,Cold
2024-01-01T07:00:00,31.9,90,9.6,Rainy
2024-01-01T08:00:00,16.7,95,7.9,Rainy
2024-01-01T09:00:00,32.3,57,9.6,Sunny
2024-01-01T10:00:00,10.2,100,9.6,Cold
2024-01-01T11:00:00,22.0,32,6.9,Autumn
2024-01-01T12:00:00,26.9,73,1.2,Sunny
2024-01-01T13:00:00,16.7,76,3.6,Sunny
2024-01-01T14:00:00,21.7,28,7.8,Autumn
2024-01-01T15:00:00,15.6,69,4.9,Sunny
2024-01-01T16:00:00,29.3,41,2.5,Sunny
2024-01-01T17:00:00,36.4,65,3.0,Sunny
2024-01-01T18:00:00,22.5,80,0.7,Spring
2024-01-01T19:00:00,12.9,62,5.4,Cold
2024-01-01T20:00:00,32.4,85,4.2,Rainy
2024-01-01T21:00:00,12.8,71,4.7,Cold
2024-01-01T22:00:00,37.2,60,7.5,Sunny
2024-01-01T23:00:00,6.5,93,8.7,Cold
2024-01-02T00:00:00,9.3,55,2.5,Cold
2024-01-02T01:00:00,36.6,84,5.0,Rainy
2024-01-02T02:00:00,36.1,26,5.3,Sunny
2024-01-02T03:00:00,17.3,30,9.1,Sunny
2024-01-02T04:00:00,14.0,40,4.1,Cold
2024-01-02T05:00:00,31.5,78,9.3,Sunny
2024-01-02T06:00:00,9.8,65,6.3,Cold
2024-01-02T07:00:00,26.0,87,3.1,Rainy
2024-01-02T08:00:00,17.3,68,2.6,Sunny
2024-01-02T09:00:00,18.2,87,6.7,Rainy
2024-01-02T10:00:00,22.9,78,4.1,Autumn
2024-01-02T11:00:00,14.8,41,4.2,Cold
2024-01-02T12:00:00,38.0,68,5.2,Sunny
2024-01-02T13:00:00,17.6,36,6.5,Sunny
2024-01-02T14:00:00,15.3,73,7.5,Sunny
2024-01-02T15:00:00,14.0,44,0.8,Cold
2024-01-02T16:00:00,21.4,76,6.2,Autumn
2024-01-02T17:00:00,34.5,91,3.8,Rainy
2024-01-02T18:00:00,11.1,48,9.1,Cold
2024-01-02T19:00:00,28.0,95,5.9,Rainy
2024-01-02T20:00:00,6.0,37,2.6,Cold
2024-01-02T21:00:00,39.2,49,2.7,Sunny
2024-01-02T22:00:00,40.0,95,5.8,Rainy
2024-01-02T23:00:00,28.0,35,7.9,Sunny
2024-01-03T00:00:00,20.9,59,5.6,Autumn
2024-01-03T01:00:00,12.2,92,1.4,Cold
2024-01-03T02:00:00,28.8,41,3.4,Sunny
2024-01-03T03:00:00,14.6,40,4.4,Cold
2024-01-03T04:00:00,20.9,65,3.2,Spring
2024-01-03T05:00:00,32.0,97,4.3,Rainy
2024-01-03T06:00:00,21.6,65,10.0,Autumn
2024-01-03T07:00:00,7.5,82,9.6,Cold
2024-01-03T08:00:00,19.4,25,6.3,Autumn
2024-01-03T09:00:00,37.7,59,7.5,Sunny
2024-01-03T10:00:00,38.5,75,1.4,Sunny
2024-01-03T11:00:00,32.0,100,7.7,Rainy
2024-01-03T12:00:00,22.9,76,7.8,Autumn
2024-01-03T13:00:00,31.6,88,5.8,Rainy
2024-01-03T14:00:00,14.7,21,4.1,Cold
2024-01-03T15:00:00,11.5,51,4.1,Cold
2024-01-03T16:00:00,23.9,72,0.9,Spring
2024-01-03T17:00:00,25.5,53,1.5,Sunny
2024-01-03T18:00:00,30.7,56,1.2,Sunny
2024-01-03T19:00:00,24.5,23,2.0,Sunny
2024-01-03T20:00:00,20.9,94,1.2,Rainy
2024-01-03T21:00:00,37.0,39,9.0,Sunny
2024-01-03T22:00:00,26.1,40,2.6,Sunny
2024-01-03T23:00:00,20.6,77,0.7,Spring
2024-01-04T00:00:00,18.3,92,8.0,Rainy
2024-01-04T01:00:00,29.4,51,4.1,Sunny
2024-01-04T02:00:00,25.0,74,8.5,Sunny
2024-01-04T03:00:00,29.0,58,4.1,Sunny
2024-01-04T04:00:00,26.5,96,9.1,Rainy
2024-01-04T05:00:00,16.6,36,7.6,Sunny
